Status,Symbol,BUY SCORE,BUY TIME PLACED (AUTOPICKLR),BUY TIME EXECUTED (KRAKEN),BUY PRICE PLACED (AUTOPICKLR),BUY PRICE EXECUTED (KRAKEN),BUY QUANTITY (KRAKEN),BUY COST (KRAKEN),BUY FEE (KRAKEN),ATR STOP,EMA SLOPE,BREAKOUT PERCENTAGE,RR,EMA SPREAD,SELL TIME PLACED (AUTOPICKLR),SELL TIME EXECUTED (KRAKEN),SELL PRICE PLACED (AUTOPICKLR),SELL PRICE EXECUTED (KRAKEN),SELL QUANTITY (% OF POSITION),SELL QUANTITY,SELL COST,SELL FEE,REASON FOR SELL,P/L (%),P/L ($),TIME POSITION WAS OPEN (HOURS),POSITION HIGHEST P/L %,POSITION LOWEST P/L %
CLOSED,AAVE/USD,0.5,2025-08-25 09:50:36.379336,2025-08-25 09:50:36.379336,329.43,329.43,0.07588865,24.9999979695,,322.8414,,,2.5,,2025-09-01 02:50:02.876323,2025-09-01 02:50:02.876323,310.52,310.5199999999999,72.14341,0.05474866,17.000553903199997,0.0,LIVE kraken STOP/TSL,0.0,0.0,104.676947,,
CLOSED,BCH/USD,0.5,2025-08-25 09:50:36.696223,2025-09-03 11:01:34.528000,565.91,602.77,0.04140992,24.9606574784,,554.5917999999999,,,2.5,,2025-09-03 15:56:32.425088,2025-09-03 15:56:32.425088,591.6456000000001,591.6456000000001,100.0,0.04140992,24.499996964352004,0.0,LIVE kraken STOP/TSL,0.0,0.0,104.676871,,
CLOSED,TAO/USD,0.5,2025-08-25 09:52:58.251013,2025-08-25 09:52:58.251013,342.9461,342.9461,0.07289,24.997341229,,336.087178,,,2.5,,2025-08-29 18:31:13.446798,2025-08-29 18:31:13.446798,360.093405,360.093405,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,104.637554,,
CLOSED,PYTH/USD,0.5,2025-08-29 18:51:55.138533,2025-09-02 19:01:32.930000,0.20162,0.15754,102.33995,16.122635723000002,,0.20656396,,,,,2025-09-03 10:36:02.143604,2025-09-03 10:36:02.143604,0.1575936,0.1878056180442686,221.160534,226.33558,42.507093487308,0.0,LIVE kraken STOP/TSL,5.0,0.37499989,1.468188,,
CLOSED,SOL/USD,0.2197,2025-08-29 18:51:55.388950,2025-08-29 18:51:55.388950,202.24,202.24,0.1236155,24.99999872,,198.1952,,,2.5,,2025-08-29 18:52:56.511789,2025-08-29 18:52:56.511789,212.35200000000003,212.35200000000003,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,0.016978,,
CLOSED,PAXG/USD,0.5,2025-08-29 18:56:57.150324,2025-09-02 16:18:08.254000,3456.66,3537.296545,0.00706422,24.988240999119903,,3387.5267999999996,,,2.5,,2025-09-06 10:02:43.753653,2025-09-06 10:02:43.753653,3610.62,3581.022847516244,494.126882,0.03490621,124.99993553019999,0.0,LIVE kraken TIME,0.0,0.0,4.734043,,
CLOSED,AAVE/USD,0.266,2025-08-29 19:07:19.171711,2025-08-29 19:07:19.171711,310.52,310.52,0.0,0.0,,310.52,,,,,2025-09-01 02:50:02.876323,2025-09-01 02:50:02.876323,310.52,310.5199999999999,,0.05474866,17.000553903199997,0.0,LIVE kraken STOP/TSL,0.0,0.0,55.712141,,
OPEN,PAXG/USD,0.5,2025-08-29 23:41:17.383865,2025-09-02 16:18:08.254000,3467.81,3537.296545,0.00706422,24.988240999119903,,3398.4538,,,0.136444,,2025-09-06 10:02:43.753653,2025-09-02 23:41:21.986000,3610.62,3545.4799999999996,99.815549,0.00705119,24.999853121199997,0.0,LIVE kraken TIME,0.0,0.0,96.001296,,
CLOSED,BNB/USD,0.1399,2025-08-30 00:50:17.533484,2025-08-30 00:50:17.533484,859.02,859.02,0.0,0.0,,841.8396,,,2.5,,2025-09-01 20:45:47.286148,2025-09-01 20:45:47.286148,841.8396,841.8396,,0.0291,24.49753236,0.0,LIVE kraken STOP/TSL,-2.0,-0.49994964,67.924936,,
CLOSED,FIL/USD,0.1574,2025-09-01 16:37:55.752360,2025-09-01 16:37:55.752360,2.318,2.318,0.0,0.0,,2.27164,,,2.5,,2025-09-01 20:45:47.591073,2025-09-01 20:45:47.591073,2.27164,2.27164,,4.85182934,11.0216096019176,0.0,LIVE kraken STOP/TSL,-2.0,-0.22493081,4.131063,,
CLOSED,WLFI/USD,0.5,2025-09-01 20:48:23.845849,2025-09-06 09:01:46.317000,0.2174,0.1885,68.67777,12.945759644999999,,0.2191435233146723,,,,,2025-09-06 09:02:58.974051,2025-09-06 09:02:58.974051,0.2524284,0.23604487973096414,819.245805,562.6397499999999,132.80823212060972,0.0,LIVE kraken STOP/TSL,0.0,0.0,0.527364,,
OPEN,WLFI/USD,0.5,2025-09-01 22:26:45.827505,2025-09-06 09:01:46.317000,0.2214,0.1885,68.67777,12.945759644999999,,0.2524284,,,,,2025-09-06 09:02:58.974051,2025-09-06 09:02:58.974051,0.2524284,0.24627139994644817,510.410952,350.53886,86.327695787832,0.0,LIVE kraken STOP/TSL,0.0,0.0,0.281108,,
OPEN,TRUMP/USD,0.3051,2025-09-02 02:03:29.731083,2025-09-06 02:10:33.184000,8.288,8.372,2.98614,24.999964079999998,,8.12224,,,1.330734,,2025-09-06 02:11:49.887144,2025-09-06 02:11:49.887144,8.372,8.372,200.0,5.97228,49.999928159999996,0.0,LIVE kraken TIME,0.0,0.0,96.017129,,
CLOSED,PYTH/USD,0.2373,2025-09-02 19:01:32.989298,2025-09-02 19:01:32.930000,0.15758,0.15754,102.33995,16.122635723000002,,0.1575936,,,,,2025-09-03 10:36:02.143604,2025-09-02 23:12:57.925000,0.1575936,0.16343,29.999995,30.70198,5.0176245914,0.0,LIVE kraken STOP/TSL,3.7,0.17900667,4.190282,,
CLOSED,BTC/USD,0.2593,2025-09-03 10:36:37.396871,2025-09-03 10:36:37.334000,111311.6,111441.1,0.00022459,25.028556649,,109085.368,,,2.5,,2025-09-03 10:38:47.414306,2025-09-03 10:38:47.414306,116877.18000000001,116877.18000000001,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,0.036115,,
CLOSED,BCH/USD,0.2057,2025-09-03 11:01:34.606576,2025-09-03 11:01:34.528000,603.72,602.77,0.04140992,24.9606574784,,591.6456000000001,,,2.5,,2025-09-03 15:56:32.425088,2025-09-03 15:56:32.364000,591.6456000000001,585.98,100.0,0.04140992,24.265384921600003,0.0,LIVE kraken STOP/TSL,-2.0,-0.49999994,4.916061,,
CLOSED,BTC/USD,0.2299,2025-09-03 15:57:08.952575,2025-09-03 15:57:08.892000,112181.9,112246.3,0.00022285,25.014087955,,109938.26199999999,,,2.5,,2025-09-03 15:58:16.975977,2025-09-03 15:58:16.975977,117790.995,117790.995,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,0.018894,,
CLOSED,ENA/USD,0.2119,2025-09-03 16:25:16.855382,2025-09-03 16:25:16.796000,0.7305,0.7295,26.01988,18.98150246,,0.71589,,,2.5,,2025-09-06 01:30:09.139951,2025-09-04 03:17:43.745000,0.7318188,0.716,100.0,26.01988,18.63023408,0.0,LIVE kraken STOP/TSL,-2.0,-0.38015045,10.874153,,
CLOSED,PTB/USD,0.5,2025-09-04 04:38:46.030272,2025-09-04 04:38:45.971000,0.0295,0.02949,743.3661,21.921866288999997,,0.028909999999999998,,,2.5,,2025-09-04 06:07:09.638488,2025-09-04 06:07:09.638488,0.0278908,0.028397777133666733,200.230532,1488.4459000000002,42.268554943720005,0.0,LIVE kraken STOP/TSL,0.0,0.0,0.017678,,
CLOSED,PTB/USD,1.0,2025-09-04 05:54:07.760228,2025-09-04 05:54:07.702000,0.02846,0.02821,748.0534,21.102586414,,0.0278908,,,2.5,,2025-09-04 06:07:09.638488,2025-09-04 06:07:09.580000,0.0278908,0.02786,100.0,748.0534,20.840767724,0.0,LIVE kraken STOP/TSL,-2.0,-0.425792,0.217189,,
CLOSED,CRO/USD,0.2053,2025-09-04 15:01:54.030414,2025-09-04 15:01:53.972000,0.26597,0.26631,66.1277,17.610467787,,0.26597,,,,,2025-09-05 14:19:49.573806,2025-09-05 14:19:49.514000,0.26597,0.26586,100.0,66.1277,17.580710322,0.0,LIVE kraken STOP/TSL,0.0,0.0,23.298762,,
CLOSED,ENA/USD,0.208,2025-09-05 17:07:29.078811,2025-09-05 17:07:29.016000,0.6599,0.6578,22.19563,14.600285414000002,,0.7318188,,,,,2025-09-06 01:30:09.139951,2025-09-05 23:11:39.110000,0.7318188,0.73,29.999599,6.6586,4.860778,0.0,LIVE kraken STOP/TSL,0.0,0.0,6.975345,,
CLOSED,USELESS/USD,0.1863,2025-09-06 00:45:09.302426,2025-09-06 00:45:09.229000,0.1876,0.18718234,116.30344,21.769950049249598,,0.1876,,,,,2025-09-06 02:06:43.129710,2025-09-06 02:06:43.070000,0.1876,0.18704675,100.0,116.30344,21.75418046582,0.0,LIVE kraken STOP/TSL,0.0,0.0,1.359394,,
CLOSED,ARB/USD,0.1751,2025-09-06 00:45:12.716354,2025-09-06 00:45:12.640000,0.4993,0.5001,50.07009,25.040052009,,0.489314,,,2.5,,2025-09-06 09:13:17.600131,2025-09-06 09:13:17.542000,0.489314,0.48827383,100.0,50.07009,24.4479146127447,0.0,LIVE kraken STOP/TSL,-2.0,-0.49999992,8.468023,,
CLOSED,EIGEN/USD,0.1816,2025-09-06 01:58:54.615595,2025-09-06 01:58:54.549000,1.358,1.358,7.6711,10.4173538,,1.33084,,,2.5,,2025-09-06 08:47:12.214684,2025-09-06 08:47:12.157000,1.33084,1.316,100.0,7.6711,10.0951676,0.0,LIVE kraken STOP/TSL,-2.0,-0.20834708,6.804889,,
OPEN,ENA/USD,0.1765,2025-09-06 02:07:43.383318,2025-09-06 02:07:43.324000,0.7423,0.7444,33.6791,25.070722039999996,,0.7274539999999999,,,2.297481,,2025-09-06 22:03:35.813627,2025-09-06 22:01:36.675000,0.779415,0.7307,102.040821,34.36643,25.111550401000002,0.0,,0.0,0.0,19.93123,,
CLOSED,SUI/USD,0.17,2025-09-06 02:12:48.687207,2025-09-06 02:12:48.620000,3.3941,3.3871,7.36572,24.948430212,,3.326218,,,2.5,,2025-09-06 02:14:31.114029,2025-09-06 02:14:31.114029,3.563805,3.563805,0.0,0.0,0.0,0.0,CLOSED,0.0,0.0,0.028451,,
CLOSED,PUMP/USD,0.155,2025-09-06 09:19:02.447567,2025-09-06 09:19:02.390000,0.004932,0.004917,4446.822,21.865023774,,0.00483336,,,2.5,,2025-09-06 10:00:31.797641,2025-09-06 10:00:31.739000,0.00483336,0.004868,100.0,4446.822,21.647129496,0.0,LIVE kraken STOP/TSL,-2.0,-0.43863452,0.691488,,
OPEN,KAS/USD,0.1641,2025-09-06 10:03:47.423801,2025-09-06 10:03:47.366000,0.07681,0.07625,220.20117,16.790339212499998,,0.0752738,,,2.5,,,,0.0806505,0.0806505,0.0,0.0,0.0,0.0,,0.0,0.0,16.372413,,
OPEN,SPX/USD,0.2067,2025-09-06 10:09:09.520950,2025-09-06 10:09:09.460000,1.1177,1.1146,14.35716,16.002490536,,1.1177,,,,,,,1.1735849999999999,1.1735849999999999,0.0,0.0,0.0,0.0,,0.0,0.0,16.283057,,
OPEN,KTA/USD,0.312,2025-09-06 22:04:38.689568,2025-09-06 22:04:38.631000,0.9552,0.95550142,26.17252,25.0078800249784,,0.9552,,,,,2025-09-06 23:20:59.252062,2025-09-06 23:19:50.771000,1.045944,0.9678,29.999977,7.85175,7.59892365,0.0,,0.0,0.0,1.272378,,
